Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
CONCOCT_CONCOCT.11	s__algicola (UID2846)	47	571	303	10	359	191	11	0	0	97.74	37.23	53.12
CONCOCT_CONCOCT.14_sub	c__Gammaproteobacteria (UID4267)	119	544	284	52	453	38	1	0	0	88.47	9.01	17.07
CONCOCT_CONCOCT.35	p__Actinobacteria (UID1454)	732	199	116	4	194	1	0	0	0	96.98	0.86	0.00
CONCOCT_CONCOCT.39	o__Actinomycetales (UID1663)	488	310	185	4	303	3	0	0	0	98.57	1.62	0.00
CONCOCT_CONCOCT.43_sub	o__Actinomycetales (UID1663)	488	309	185	40	255	13	1	0	0	86.42	4.92	0.00
CONCOCT_CONCOCT.46	c__Alphaproteobacteria (UID3337)	468	388	250	71	284	33	0	0	0	80.39	9.74	69.70
CONCOCT_CONCOCT.47	k__Bacteria (UID1453)	901	171	117	18	147	6	0	0	0	86.75	4.70	0.00
CONCOCT_CONCOCT.48	c__Gammaproteobacteria (UID4274)	112	581	290	27	540	14	0	0	0	94.85	2.64	50.00
CONCOCT_CONCOCT.66_sub	c__Deltaproteobacteria (UID3217)	62	280	168	99	145	30	5	0	1	60.31	17.53	25.45
CONCOCT_CONCOCT.81_sub	c__Deltaproteobacteria (UID3216)	83	247	155	5	118	116	5	2	1	96.77	64.62	18.30
CONCOCT_CONCOCT.86_sub	k__Bacteria (UID1452)	924	163	110	36	88	27	12	0	0	79.66	34.78	0.00
GraphMB_1054	c__Gammaproteobacteria (UID4274)	112	581	290	530	51	0	0	0	0	1.02	0.00	0.00
GraphMB_152	c__Gammaproteobacteria (UID4444)	263	503	230	150	325	23	5	0	0	65.46	6.32	26.32
GraphMB_2022	k__Bacteria (UID3187)	2258	188	117	7	179	2	0	0	0	96.10	1.71	0.00
GraphMB_204	c__Deltaproteobacteria (UID3216)	83	247	155	58	186	3	0	0	0	73.07	1.29	66.67
GraphMB_2280	p__Actinobacteria (UID1454)	732	199	116	58	140	1	0	0	0	64.94	0.29	0.00
GraphMB_235	c__Deltaproteobacteria (UID3216)	83	247	155	145	100	2	0	0	0	28.85	0.97	0.00
GraphMB_254_sub	k__Bacteria (UID203)	5449	104	58	81	23	0	0	0	0	24.01	0.00	0.00
